Gene,Mean_GBM,Mean_Other,Diff_Score,T_Stat,P_Value,FDR,Cohen_D,Std_GBM,Std_Other,Rank_Selectivity
VAMP5,0.1271689366403406,0.10444757452501024,0.02272136211533035,1.3711734733413279,0.17443284769979175,0.4043922734673806,0.18560400862942444,0.13302714458738368,0.12169708243656233,14371
SCTR,-0.05931965588907818,-0.08206114520206588,0.022741489312987702,1.5092008521262963,0.13537528217711453,0.35027621713100154,0.18684313494603053,0.12026030864129564,0.12180823288090671,14372
TEX29,-0.0645613612480741,-0.08731023949780761,0.022748878249733512,1.6010175705183387,0.11346477783322508,0.3156128005652505,0.19204476039312518,0.11313298232891061,0.11879379855760583,14373
MAST4,-0.05912899680485029,-0.08187896719547555,0.022749970390625263,1.7120297891247467,0.09088868620633389,0.27617777196505217,0.20144400949996288,0.10564162722988657,0.1133921581877498,14374
C1orf162,-0.1696302672767651,-0.1923944598745541,0.022764192597789,1.6951451058353881,0.09403836315652406,0.2820678972498549,0.19604178026241706,0.1066093615361654,0.11671027050411653,14375
ZNF277,0.03264104106456777,0.009871123427945874,0.022769917636621895,1.7221042994382687,0.0889784689819574,0.2723579595963602,0.19375543414113638,0.10471831616459147,0.11830278999892771,14376
ZBTB48,-0.04639622310044082,-0.0691760367724442,0.02277981367200338,1.4943365265441444,0.1390755661697029,0.3556423241570084,0.16686785176848895,0.12065067319346841,0.13748166048512003,14377
SNX29,0.026482652908883693,0.0037012975195254622,0.02278135538935823,2.0621411511552115,0.04244972023098155,0.1724177222278015,0.2236790298880146,0.08719947070984178,0.10272812627448288,14378
CIB4,-0.013328871488623117,-0.036111159452470815,0.022782287963847698,1.7924060644323228,0.07677964383551852,0.24977267666517222,0.18450192601633977,0.09979210073545941,0.12486390372417777,14379
TRIM42,0.04934716293857349,0.026560681909576764,0.022786481028996726,1.8121539690276711,0.07373763932520944,0.24399143951657692,0.19827111350732815,0.09933280440541929,0.11586660309868585,14380
FILIP1L,0.038963218306842295,0.016172183462864663,0.022791034843977633,1.6827393984616916,0.0964292347652124,0.28648326718933115,0.19504409767860223,0.10754207374631455,0.11743006943651468,14381
